Tournament,Timestamp Link,Team A,Team B,Timestamp,Posteam,Defteam,Event Type,IsFlash,Turnover Cause,Turnover Details,Off Bludgers,Def Bludgers,Scorer,Goal Type,Goal Location,Active Defenders,Shot Distance,Shot Location,Card,OffChasers,OffBeaters,OffSeeker,DefChasers,DefBeaters,DefSeeker,PlayerBeat,ActiveBeater
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=1314s,UT,UTSA,00:21:54,UT,UTSA,Possession Change,,Tackle,Tackle by D. Dao,1,2,,,,,,,,"D. Dao, Y. Singhania, K. Velazquez, G. Floyd","T. Shearin, C. Milne",,,,,,
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=1358s,UT,UTSA,00:22:38,UT,UTSA,Goal Scored,,,,2,0,9,Shot,Top,1 UTSA hoops chaser,Far,Back,,"D. Dao, Y. Singhania, K. Velazquez, G. Floyd","T. Shearin, C. Milne",,,,,,
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=1366s,UT,UTSA,00:22:46,UTSA,UT,Possession Change,,Goal Scored,,1,2,,,,,,,,,,,"D. Dao, Y. Singhania, K. Velazquez, G. Floyd","T. Shearin, C. Milne",,,
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=1399s,UT,UTSA,00:23:19,UT,UTSA,Possession Change,,Missed Shot,,1,2,,,,,,,,"D. Dao, Y. Singhania, K. Velazquez, G. Floyd","T. Shearin, C. Milne",,,,,,
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=1427s,UT,UTSA,00:23:47,UT,UTSA,Goal Scored,,,,0,2,96,Shot,Medium,None,Short,Front,,"D. Dao, Y. Singhania, K. Velazquez, G. Floyd","T. Shearin, C. Milne",,,,,,
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=1432s,UT,UTSA,00:23:52,UTSA,UT,Possession Change,TRUE,Goal Scored,,2,0,,,,,,,,,,,"D. Dao, Y. Singhania, K. Velazquez, G. Floyd","T. Shearin, C. Milne",,,
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=1443s,UT,UTSA,00:24:03,UTSA,UT,Goal Scored,TRUE,,,2,1,,,,None,,,,,,,"D. Dao, Y. Singhania, K. Velazquez, G. Floyd","T. Shearin, C. Milne",,,
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=1450s,UT,UTSA,00:24:10,UT,UTSA,Possession Change,,Goal Scored,,1,2,,,,,,,,"A. Lee, P. Mosqueda, Y. Singhania, I. Sueltenfuss","N. Salinas, C. Milne",,,,,,
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=1478s,UT,UTSA,00:24:38,UT,UTSA,Goal Scored,,,,0,2,71,Shot,Medium,2 chasers,Short,Back,,"A. Lee, P. Mosqueda, Y. Singhania, I. Sueltenfuss","N. Salinas, C. Milne",,,,,,
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=1489s,UT,UTSA,00:24:49,UTSA,UT,Possession Change,,Goal Scored,,2,0,,,,,,,,,,,"A. Lee, P. Mosqueda, Y. Singhania, I. Sueltenfuss","N. Salinas, C. Milne",,,
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=1497s,UT,UTSA,00:24:57,UT,UTSA,Possession Change,,Missed Shot,Recovered by Y. Singhania,2,1,,,,I. Sueltenfuss,,,,"A. Lee, P. Mosqueda, Y. Singhania, I. Sueltenfuss","N. Salinas, C. Milne",,,,,,
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=1520s,UT,UTSA,00:25:20,UT,UTSA,Goal Scored,,,,1,1,9,Shot,Top,1 UTSA hoops chaser,Point-blank,Front,,"A. Lee, P. Mosqueda, Y. Singhania, I. Sueltenfuss","N. Salinas, C. Milne",,,,,,
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=1526s,UT,UTSA,00:25:26,UTSA,UT,Possession Change,,Goal Scored,,,,,,,,,,,,,,"A. Lee, P. Mosqueda, Y. Singhania, I. Sueltenfuss","N. Salinas, C. Milne",,,
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=1530s,UT,UTSA,00:25:30,,,Stoppage,,,,,,,,,,,,,,,,,,,,
Lone Star Cup,https://www.youtube.com/watch?v=y3ABbxkBwz4&t=1548s,UT,UTSA,00:25:48,,,Play Resumes,,,,,,,,,,,,,,,,,,,,
